,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
1829,1830,2018508462.0,201851000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,26:00.0,,26:00.0,200 BLOCK W 14TH AVE,3143237.0,1694132.0,-104.99067360000001,39.73809401,6.0,611.0,Civic Center,0.0,1.0,PEDESTRIAN-OTHER,PARKED MV WITH OTHER VEHICLE,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,  ,NORTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,AGGRESSIVE DRIVING
1931,1932,2018509228.0,201851000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/27/2018 14:28,7/27/2018 17:00,7/31/2018 16:17,E 8TH AVE / N HARRRISON ST,3156991.0,1690936.0,-104.94183770000001,39.72909857,2.0,213.0,Congress Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
1978,1979,201994852.0,20199500000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/11/2019 18:02,,2/11/2019 18:52,2700 BLOCK S HAVANA ST,3178393.0,1667595.0,-104.8663267,39.66463728,3.0,323.0,Hampden,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,SUV,NORTH,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,SUV,NORTH,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
2030,2031,2018512989.0,201851000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,7/29/2018 2:04,,7/29/2018 2:04,1200 BLOCK STOUT ST,3141205.0,1695979.0,-104.99786259999999,39.74319541,6.0,611.0,CBD,0.0,0.0,CURB,  ,CURB,ON ROADWAY,NON INTERSECTION,CURVE ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DUI/DWAI/DUID
2052,2053,201979852.0,20198000000000.0,5441,0,TRAF - ACCIDENT               ,2/4/2019 18:50,,2/4/2019 18:50,N MONACO ST / E 6TH AVE,3165264.0,1689728.0,-104.9124527,39.72563918,2.0,321.0,Hilltop,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,OVERTURNING-NONCOLLISION,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,AGGRESSIVE DRIVING,  ,SUV,SOUTH,MAKING LEFT TURN,OTHER,AGGRESSIVE DRIVING,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
2058,2059,201980404.0,20198000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,40:00.0,,2/5/2019 0:46,1700 BLOCK N SPEER BLVD,3140166.0,1697468.0,-105.00152820000001,39.74729869,6.0,612.0,Auraria,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,HILLCREST,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTHWEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,BICYCLE,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,DUI/DWAI/DUID
2062,2063,201980737.0,20198100000000.0,5441,0,TRAF - ACCIDENT               ,2/5/2019 7:05,,2/5/2019 7:49,W 1ST AVE / N PERRY ST,3129485.0,1686792.0,-105.0397047,39.71814574,4.0,411.0,Barnum West,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,AGGRESSIVE DRIVING,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
2090,2091,201996489.0,20199600000000.0,5441,0,TRAF - ACCIDENT               ,2/12/2019 12:45,,2/12/2019 12:52,N NORTHFIELD QUEBEC ST / N SAND CREEK RD,3168141.0,1710277.0,-104.90174350000001,39.78199775,5.0,511.0,Stapleton,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,STOPPED IN TRAFFIC,OTHER,ILLNESS/MEDICAL,  ,PICKUP TRUCK/UTILITY VAN,NORTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
2119,2120,2018492420.0,201849000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,7/20/2018 19:19,,7/20/2018 19:19,4600 BLOCK N ELM CT,3134142.0,1709755.0,-105.02272140000001,39.78111727,1.0,111.0,Sunnyside,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,GOING STRAIGHT,RECKLESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,OTHER,0.0,1.0,PEDESTRIAN,  ,  ,  ,DUI/DWAI/DUID
2175,2176,201982407.0,20198200000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/5/2019 18:43,,2/5/2019 21:33,W EVANS AVE / S CLAY ST,3135000.0,1672436.0,-105.02036969999999,39.67865692,4.0,422.0,College View - South Platte,0.0,0.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,NORTH,GOING STRAIGHT,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
2212,2213,2018493196.0,201849000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/21/2018 2:09,,7/21/2018 5:46,I70 HWYEB / N NORTHFIELD QUEBEC ST,3167637.0,1708927.0,-104.90356829999999,39.77830093,5.0,221.0,Northeast Park Hill,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,VEHICLE DEBRIS OR CARGO,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,EAST,CHANGING LANES,LANE VIOLATION,DRIVER INEXPERIENCE,  ,MOTORCYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DRIVER INEXPERIENCE
2259,2260,2018512101.0,201851000000000.0,5441,3,TRAF - ACCIDENT - POLICE      ,7/28/2018 19:07,,7/28/2018 20:51,W 2ND AVE / N FEDERAL BLVD,3133588.0,1687586.0,-105.0251048,39.72026746,4.0,411.0,Barnum,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING RIGHT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,4.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,AGGRESSIVE DRIVING
2286,2287,201983682.0,20198400000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/6/2019 10:56,,2/6/2019 10:56,S DAYTON WAY / E ILIFF AVE,3175841.0,1671261.0,-104.87530190000001,39.674749799999994,3.0,323.0,Hampden,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,SNOWY WITH VISIBLE ICY ROAD TREATMENT,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,AGGRESSIVE DRIVING,  ,  ,NORTH,  ,  ,NO APPARENT,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,AGGRESSIVE DRIVING
2339,2340,2018495440.0,201850000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,7/21/2018 23:58,,7/21/2018 23:58,I25 HWYSB / 20TH ST,3139228.0,1702512.0,-105.0047662,39.7611594,1.0,113.0,Highland,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,  ,WEST,  ,  ,  ,OTHER,HIT AND RUN UNKNOWN,SOUTH,GOING STRAIGHT,OTHER,OTHER,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,  
2358,2359,2018514634.0,201851000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,40:00.0,,7/29/2018 22:20,I70 HWYEB / N PECOS ST,3138718.0,1710516.0,-105.0064256,39.78313920000001,1.0,111.0,Sunnyside,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,CURVE ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
2373,2374,201983806.0,20198400000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,55:00.0,,55:00.0,1700 BLOCK S DOWNING ST,3148296.0,1675027.0,-104.97307909999999,39.68556762,3.0,313.0,University,0.0,0.0,CURB,SIGN,TREE,RAN OFF LEFT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,SUV,SOUTH,WEAVING,LANE VIOLATION,ILLNESS/MEDICAL,  ,  ,  ,  ,  ,  ,  ,1.0,1.0,SUV,  ,SUV,  ,ILLNESS/MEDICAL
2423,2424,2018495622.0,201850000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/22/2018 1:40,,7/22/2018 2:22,2000 BLK S UNIVERSITY BLVD,3152108.0,1672943.0,-104.95957879999999,39.67978508,3.0,313.0,University,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
2519,2520,2018479106.0,201848000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,7/15/2018 15:45,,7/15/2018 15:45,11000 BLOCK E 40TH AVE,3179929.0,1706838.0,-104.85988859999999,39.77233671,5.0,512.0,Stapleton,0.0,0.0,PARKED MV WITH OTHER VEHICLE,  ,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,ILLNESS/MEDICAL,  ,VEHICLE OVER 10000 LBS,  ,PARKED,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
2550,2551,2018497729.0,201850000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,7/23/2018 2:20,,09:00.0,2200 BLOCK S DAHLIA ST,3160004.0,1671220.0,-104.93156429999999,39.67492275,3.0,314.0,University Hills,0.0,0.0,WALL OR BUILDING,FENCE,WALL OR BUILDING,RAN OFF LEFT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,LANE VIOLATION,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,1.0,PASSENGER CAR/VAN,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
2762,2763,2018499788.0,201850000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,7/23/2018 20:34,,7/23/2018 21:25,E ANDREWS DR / N TULSA CT,3185277.0,1711418.0,-104.84074509999999,39.78480435,5.0,521.0,Montbello,0.0,0.0,CURB,CULVERT OR HEADWALL,CULVERT OR HEADWALL,RAN OFF LEFT SIDE,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,MAKING RIGHT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
2820,2821,201987519.0,20198800000000.0,5441,0,TRAF - ACCIDENT               ,2/8/2019 7:45,,2/8/2019 7:45,E COLFAX AVE / N QUEBEC ST,3167760.0,1695028.0,-104.9034554,39.74014394,2.0,223.0,Montclair,0.0,0.0,WALL OR BUILDING,LIGHT/UTILITY POLE,WALL OR BUILDING,VEHICLE CROSSED CENTER MEDIAN INTO OPPOSING LANES,NON INTERSECTION,STRAIGHT ON-LEVEL,SNOWY,DAY LIGHT,PASSENGER CAR/VAN,WEST,DROVE WRONG WAY,OTHER,ILLNESS/MEDICAL,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
2985,2986,2018502668.0,201850000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,7/24/2018 22:44,,7/24/2018 22:44,18TH ST / BLAKE ST,3141499.0,1699340.0,-104.99675090000001,39.75241748,6.0,612.0,Union Station,0.0,1.0,PEDESTRIAN-OTHER,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,SOUTHWEST,MAKING RIGHT TURN,CARELESS DRIVING,NO APPARENT,  ,OTHER,WEST,  ,  ,  ,OTHER,1.0,0.0,  ,  ,OTHER,  ,NO APPARENT
3062,3063,2018484488.0,201848000000000.0,5441,0,TRAF - ACCIDENT               ,7/17/2018 18:09,,7/17/2018 18:55,N CENTRAL PARK BLVD / E 36TH AVE,3171348.0,1704951.0,-104.89046029999999,39.76731867,5.0,512.0,Stapleton,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,SUV,NORTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,5.0,0.0,  ,  ,PASSENGER CAR/VAN,SUV,DRIVER INEXPERIENCE
3132,3133,201989132.0,20198900000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/8/2019 20:30,,2/8/2019 22:01,5100 BLOCK LEETSDALE DR,3161017.0,1683059.0,-104.92770060000001,39.70740593,3.0,322.0,Washington Virginia Vale,0.0,1.0,FENCE,PEDESTRIAN-OTHER,LIGHT/UTILITY POLE,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,WET WITH VISIBLE ICY ROAD TREATMENT,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,  ,WEST,  ,  ,  ,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER
3142,3143,201989324.0,20198900000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/8/2019 22:10,,2/9/2019 0:32,S FEDERAL BLVD / W FLOYD AVE,3133686.0,1664696.0,-105.0251818,39.65742758,4.0,423.0,Harvey Park South,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,SNOWY,DARK-LIGHTED,  ,WEST,OTHER,IMPEDED TRAFFIC,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
3145,3146,201989378.0,20198900000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2/8/2019 22:39,,2/8/2019 23:06,7200 BLOCK E MLK BLVD,3167451.0,1702858.0,-104.9043716,39.76164406,2.0,221.0,North Park Hill,0.0,0.0,TREE,  ,TREE,RAN OFF LEFT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,EAST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID
3207,3208,201973126.0,20197300000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/1/2019 19:03,,2/1/2019 19:03,N COLORADO BLVD / E 28TH AVE,3157277.0,1700921.0,-104.94060230000001,39.75650425,2.0,213.0,Skyland,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,EAST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
3309,3310,2018523774.0,201852000000000.0,5441,0,TRAF - ACCIDENT               ,8/2/2018 12:20,,8/2/2018 12:44,E STAPLETON N DR / N DAHLIA ST,3159742.0,1709661.0,-104.9316406,39.78045479,2.0,221.0,Northeast Park Hill,0.0,0.0,OTHER OBJECT,  ,OTHER OBJECT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
3322,3323,2018524302.0,201852000000000.0,5441,0,TRAF - ACCIDENT               ,8/2/2018 16:06,,8/2/2018 16:06,E 46TH AVE / N BRIGHTON BLVD,3149859.0,1709736.0,-104.9668018,39.78082516,2.0,212.0,Elyria Swansea,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
3404,3405,2018580614.0,201858000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/25/2018 11:54,,8/25/2018 12:32,E EVANS AVE / S MONACO ST,3165274.0,1672542.0,-104.91281200000002,39.67845993,3.0,323.0,Goldsmith,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,OTHER,NORTH,OTHER,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,  
3456,3457,2018543441.0,201854000000000.0,5441,0,TRAF - ACCIDENT               ,8/10/2018 9:38,,8/10/2018 9:38,N SPEER BLVD / W 13TH AVE,3141820.0,1693673.0,-104.9957212,39.73685567,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,NO APPARENT
3483,3484,2018562525.0,201856000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,8/17/2018 22:42,,8/17/2018 22:42,2700 BLOCK W EVANS AVE,3134941.0,1672278.0,-105.02058229999999,39.67822402,4.0,422.0,College View - South Platte,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,NORTH,GOING STRAIGHT,  ,  ,CROSS/ENTER NOT AT INTERSECTION,HIT AND RUN UNKNOWN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,  
3510,3511,2018581662.0,201858000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/25/2018 21:23,,8/25/2018 22:30,8500 BLOCK E COLFAX AVE,3171896.0,1694950.0,-104.8887503,39.73985434,2.0,223.0,East Colfax,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,NORTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
3586,3587,2018563887.0,201856000000000.0,5441,0,TRAF - ACCIDENT               ,8/18/2018 14:50,,8/18/2018 14:50,3000 BLOCK S HAVANA ST,3178379.0,1666276.0,-104.8664091,39.66101659,3.0,323.0,Hampden,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,LANE VIOLATION,DISTRACTED-OTHER,  ,MOTORCYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DISTRACTED
3610,3611,2018582971.0,201858000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/26/2018 12:36,,53:00.0,W 50TH AVE / N ELIOT ST,3133781.0,1712054.0,-105.023963,39.78743355,1.0,111.0,Chaffee Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,MOTORCYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
3718,3719,2018586144.0,201859000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,8/27/2018 19:20,,8/27/2018 20:00,7200 BLOCK E YALE AVE,3167731.0,1668588.0,-104.90417509999999,39.66756136,3.0,323.0,Hampden,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DRIVER FATIGUE,  ,PASSENGER CAR/VAN,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,1.0,PASSENGER CAR/VAN,  ,  ,  ,DRIVER FATIGUE
3720,3721,2018586224.0,201859000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/27/2018 19:29,,8/27/2018 19:29,S EMERSON ST / E BAYAUD AVE,3147155.0,1685639.0,-104.97691609999998,39.71471797,3.0,311.0,Speer,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PICKUP TRUCK/UTILITY VAN,NORTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,OTHER,EAST,OTHER,OTHER,NO APPARENT,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,OTHER,  ,NO APPARENT
